x,Qr,Qc,Qt
0.00000000,1.372163712562e+000,2.001166664856e+000,3.373330377418e+000
0.01000000,1.374777570410e+000,2.158754110291e+000,3.533531680701e+000
0.02000000,1.377700397481e+000,2.214465730870e+000,3.592166128351e+000
0.03000000,1.378077100162e+000,2.244697088919e+000,3.622774189082e+000
0.04000000,1.378156260371e+000,2.254702036373e+000,3.632858296745e+000
0.05000000,1.378169912202e+000,2.248021839860e+000,3.626191752062e+000
0.06000000,1.378173526118e+000,2.236336925503e+000,3.614510451621e+000
0.07000000,1.378176050755e+000,2.221886109424e+000,3.600062160179e+000
0.08000000,1.378178200269e+000,2.205318164700e+000,3.583496364970e+000
0.09000000,1.378180139864e+000,2.186672954603e+000,3.564853094466e+000
0.10000000,1.378181916552e+000,2.166006080912e+000,3.544187997464e+000
0.11000000,1.378183550723e+000,2.143378690247e+000,3.521562240970e+000
0.12000000,1.378185056005e+000,2.118857207201e+000,3.497042263206e+000
0.13000000,1.378186443745e+000,2.092513008489e+000,3.470699452234e+000
0.14000000,1.378187688054e+000,2.064422076189e+000,3.442609764242e+000
0.15000000,1.378188763820e+000,2.034664632178e+000,3.412853395998e+000
0.16000000,1.378189722323e+000,2.003324756223e+000,3.381514478546e+000
0.17000000,1.378190611172e+000,1.970489990287e+000,3.348680601459e+000
0.18000000,1.378191433517e+000,1.936250931630e+000,3.314442365147e+000
0.19000000,1.378192184864e+000,1.900700817383e+000,3.278893002247e+000
0.20000000,1.378192834486e+000,1.863935103220e+000,3.242127937706e+000
0.21000000,1.378193382385e+000,1.826051038800e+000,3.204244421185e+000
0.22000000,1.378193883271e+000,1.787147242590e+000,3.165341125861e+000
0.23000000,1.378194349804e+000,1.747323278663e+000,3.125517628467e+000
0.24000000,1.378194768503e+000,1.706679237953e+000,3.084874006456e+000
0.25000000,1.378195120977e+000,1.665315326412e+000,3.043510447389e+000
0.26000000,1.378195431477e+000,1.623331462376e+000,3.001526893853e+000
0.27000000,1.378195727346e+000,1.580826885324e+000,2.959022612670e+000
0.28000000,1.378195999505e+000,1.537899778123e+000,2.916095777628e+000
0.29000000,1.378196254262e+000,1.494646904632e+000,2.872843158894e+000
0.30000000,1.378196491075e+000,1.451163264457e+000,2.829359755533e+000
0.31000000,1.378196712177e+000,1.407541766411e+000,2.785738478588e+000
0.32000000,1.378196918314e+000,1.363872922105e+000,2.742069840419e+000
0.33000000,1.378197110389e+000,1.320244560892e+000,2.698441671281e+000
0.34000000,1.378197288073e+000,1.276741567192e+000,2.654938855265e+000
0.35000000,1.378197448104e+000,1.233445641063e+000,2.611643089167e+000
0.36000000,1.378197578356e+000,1.190435082660e+000,2.568632661016e+000
0.37000000,1.378197682195e+000,1.147784601065e+000,2.525982283260e+000
0.38000000,1.378197775987e+000,1.105565147767e+000,2.483762923754e+000
0.39000000,1.378197860966e+000,1.063843774896e+000,2.442041635862e+000
0.40000000,1.378197936955e+000,1.022683518139e+000,2.400881455094e+000
0.41000000,1.378198004828e+000,9.821433040975e-001,2.360341308925e+000
0.42000000,1.378198064534e+000,9.422778816933e-001,2.320475946227e+000
0.43000000,1.378198116675e+000,9.031377770595e-001,2.281335893734e+000
0.44000000,1.378198161267e+000,8.647692712425e-001,2.242967432509e+000
0.45000000,1.378198198716e+000,8.272143998907e-001,2.205412598607e+000
0.46000000,1.378198229055e+000,7.905109739982e-001,2.168709203053e+000
0.47000000,1.378198252549e+000,7.546926206694e-001,2.132890873218e+000
0.48000000,1.378198269212e+000,7.197888427773e-001,2.097987111990e+000
0.49000000,1.378198279209e+000,6.858250963130e-001,2.064023375522e+000
0.50000000,1.378198282513e+000,6.528228841588e-001,2.031021166672e+000
0.51000000,1.378198279209e+000,6.207998649671e-001,1.998998144176e+000
0.52000000,1.378198269212e+000,5.897699757916e-001,1.967968245004e+000
0.53000000,1.378198252549e+000,5.597435670874e-001,1.937941819636e+000
0.54000000,1.378198229055e+000,5.307275486910e-001,1.908925777746e+000
0.55000000,1.378198198716e+000,5.027255453842e-001,1.880923744100e+000
0.56000000,1.378198161267e+000,4.757380606601e-001,1.853936221927e+000
0.57000000,1.378198116675e+000,4.497626473290e-001,1.827960764004e+000
0.58000000,1.378198064534e+000,4.247940836335e-001,1.802992148167e+000
0.59000000,1.378198004828e+000,4.008245535817e-001,1.779022558409e+000
0.60000000,1.378197936955e+000,3.778438302536e-001,1.756041767209e+000
0.61000000,1.378197860966e+000,3.558394608951e-001,1.734037321861e+000
0.62000000,1.378197775987e+000,3.347969526697e-001,1.712994728657e+000
0.63000000,1.378197682195e+000,3.146999580106e-001,1.692897640206e+000
0.64000000,1.378197578356e+000,2.955304585829e-001,1.673728036939e+000
0.65000000,1.378197448104e+000,2.772689469432e-001,1.655466395047e+000
0.66000000,1.378197288073e+000,2.598946050594e-001,1.638091893132e+000
0.67000000,1.378197110389e+000,2.433854789358e-001,1.621582589325e+000
0.68000000,1.378196918314e+000,2.277186486657e-001,1.605915566980e+000
0.69000000,1.378196712177e+000,2.128703933162e-001,1.591067105493e+000
0.70000000,1.378196491075e+000,1.988163501308e-001,1.577012841206e+000
0.71000000,1.378196254262e+000,1.855316676120e-001,1.563727921874e+000
0.72000000,1.378195999505e+000,1.729911521240e-001,1.551187151629e+000
0.73000000,1.378195727346e+000,1.611694077312e-001,1.539365135077e+000
0.74000000,1.378195431477e+000,1.500409690575e-001,1.528236400535e+000
0.75000000,1.378195120977e+000,1.395804270216e-001,1.517775547999e+000
0.76000000,1.378194768503e+000,1.297625473645e-001,1.507957315868e+000
0.77000000,1.378194349804e+000,1.205623819492e-001,1.498756731753e+000
0.78000000,1.378193883271e+000,1.119553728642e-001,1.490149256135e+000
0.79000000,1.378193382385e+000,1.039174494153e-001,1.482110831800e+000
0.80000000,1.378192834486e+000,9.642511813416e-002,1.474617952620e+000
0.81000000,1.378192184864e+000,8.945554597412e-002,1.467647730838e+000
0.82000000,1.378191433517e+000,8.298663689767e-002,1.461178070415e+000
0.83000000,1.378190611172e+000,7.699710209086e-002,1.455187713263e+000
0.84000000,1.378189722323e+000,7.146652406713e-002,1.449656246390e+000
0.85000000,1.378188763820e+000,6.637541493026e-002,1.444564178750e+000
0.86000000,1.378187688054e+000,6.170526912997e-002,1.439892957184e+000
0.87000000,1.378186443745e+000,5.743861084902e-002,1.435625054594e+000
0.88000000,1.378185056005e+000,5.355903690030e-002,1.431744092906e+000
0.89000000,1.378183550723e+000,5.005125283262e-002,1.428234803555e+000
0.90000000,1.378181916552e+000,4.690111087350e-002,1.425083027426e+000
0.91000000,1.378180139864e+000,4.409560856898e-002,1.422275748433e+000
0.92000000,1.378178200269e+000,4.162296764354e-002,1.419801167913e+000
0.93000000,1.378176050755e+000,3.947212558261e-002,1.417648176338e+000
0.94000000,1.378173526118e+000,3.763328592499e-002,1.415806812043e+000
0.95000000,1.378169912202e+000,3.608853523981e-002,1.414258447441e+000
0.96000000,1.378156260371e+000,3.481394863358e-002,1.412970209005e+000
0.97000000,1.378077100162e+000,3.360432736310e-002,1.411681427526e+000
0.98000000,1.377700397481e+000,3.242070022640e-002,1.410121097708e+000
0.99000000,1.374777570410e+000,3.122089984693e-002,1.405998470257e+000
1.00000000,1.372163712562e+000,2.860249911750e-002,1.400766211679e+000
