x,0.005,0.015,SS,SS-1,SS-2,SS-3
0.00062,0.999229,0.999617,1.004499,1.009252,1.005674,1.002798
0.00063,0.999225,0.999615,1.004497,1.009246,1.00567,1.002796
0.00125,0.995727,0.997407,1.002608,1.003888,1.002334,1.000387
0.00126,0.995708,0.997395,1.002597,1.00386,1.002316,1.000374
0.00188,0.992259,0.995214,1.00073,0.998844,0.99902,0.997994
0.0025,0.988787,0.993012,0.998845,0.992415,0.995787,0.995605
0.01116,0.944078,0.962563,0.972757,0.942521,0.961811,0.966281
0.01117,0.944065,0.962553,0.972749,0.942509,0.961801,0.966273
0.01244,0.938148,0.958077,0.96891,0.9368,0.95757,0.962393
0.01369,0.932517,0.953712,0.965165,0.93136,0.953521,0.958668
0.01432,0.929707,0.9515,0.963267,0.928645,0.951496,0.956799
0.02546,0.883502,0.915378,0.929899,0.884428,0.918332,0.925968
0.02678,0.87829,0.911556,0.925944,0.879535,0.914663,0.922563
0.03112,0.861742,0.899711,0.913125,0.864035,0.903069,0.911837
0.04225,0.823327,0.872242,0.883114,0.82725,0.875839,0.886912
0.0436,0.819026,0.869081,0.880044,0.823052,0.872768,0.884128
0.04786,0.805859,0.859329,0.871483,0.810214,0.86344,0.875708
0.04858,0.803682,0.85771,0.870189,0.808101,0.861914,0.874336
0.04985,0.79986,0.85487,0.867993,0.804403,0.859253,0.871947
0.0573,0.778035,0.838772,0.856848,0.783592,0.844456,0.858755
0.06045,0.769084,0.83239,0.852664,0.775204,0.838578,0.85355
0.06342,0.760841,0.826851,0.848858,0.767531,0.833242,0.848838
0.0704,0.742364,0.816791,0.840009,0.750218,0.821338,0.83836
0.07713,0.725742,0.808473,0.8312,0.734502,0.810676,0.829001
0.08231,0.713103,0.801457,0.823745,0.722979,0.802932,0.822209
0.08289,0.71172,0.800596,0.822834,0.721711,0.802083,0.821465
0.09413,0.687932,0.782471,0.805815,0.69853,0.786639,0.807914
0.09646,0.683703,0.77914,0.802956,0.694005,0.783634,0.805275
0.10788,0.665278,0.765074,0.791019,0.67313,0.76975,0.793054
0.10917,0.663321,0.763643,0.789814,0.670913,0.768269,0.791747
0.10917,0.663316,0.763639,0.789811,0.670907,0.768265,0.791743
0.10958,0.662697,0.76319,0.789433,0.67021,0.767799,0.791331
0.11537,0.653884,0.757024,0.784247,0.660623,0.761349,0.78564
0.12018,0.645911,0.752126,0.780128,0.65307,0.756199,0.781104
0.13203,0.625086,0.740451,0.770466,0.635976,0.744158,0.770604
0.14973,0.607642,0.723099,0.756945,0.614223,0.727441,0.75651
0.17723,0.584347,0.696114,0.737533,0.588337,0.703061,0.737705
0.1789,0.583069,0.694682,0.736408,0.587038,0.701602,0.736663
0.18704,0.57721,0.687986,0.73104,0.581147,0.694527,0.731757
0.18786,0.576649,0.687323,0.730503,0.580585,0.693807,0.731271
0.18793,0.576605,0.687271,0.73046,0.580541,0.69375,0.731233
0.18793,0.576604,0.68727,0.730459,0.58054,0.693749,0.731232
0.2208,0.559567,0.66233,0.710591,0.56287,0.665578,0.713609
0.22098,0.559491,0.662196,0.710488,0.562793,0.665426,0.713518
0.26287,0.545104,0.633679,0.689243,0.549189,0.634004,0.693954
0.27835,0.54148,0.624239,0.682369,0.545618,0.62459,0.687064
0.28149,0.540847,0.62241,0.68103,0.544955,0.622864,0.685675
0.28288,0.540576,0.62161,0.680442,0.544666,0.62212,0.685059
0.28299,0.540555,0.621545,0.680394,0.544643,0.62206,0.685009
0.28486,0.540201,0.62048,0.679609,0.54426,0.621082,0.684181
0.3154,0.535538,0.60517,0.667476,0.538732,0.607883,0.670792
0.36795,0.530493,0.589007,0.648964,0.531513,0.592518,0.649845
0.36972,0.530364,0.588554,0.648385,0.531302,0.592062,0.649214
0.38735,0.529174,0.584002,0.642791,0.529279,0.587479,0.643278
0.38787,0.529141,0.583868,0.64263,0.529221,0.58734,0.643112
0.38933,0.52905,0.583495,0.642183,0.529059,0.586952,0.642653
0.40059,0.528371,0.580648,0.638804,0.527826,0.583884,0.639257
0.42363,0.527074,0.575162,0.632375,0.525436,0.577411,0.633024
0.47863,0.523891,0.563824,0.619485,0.5207,0.562703,0.620436
0.49069,0.523079,0.56168,0.616884,0.519895,0.55994,0.617823
0.49747,0.522601,0.560559,0.615414,0.519487,0.5585,0.61634
0.49872,0.522512,0.560362,0.615143,0.519415,0.558246,0.616065
0.50115,0.522338,0.559986,0.614614,0.519279,0.557757,0.615527
0.50195,0.52228,0.559865,0.61444,0.519236,0.5576,0.61535
0.55004,0.51879,0.554042,0.604062,0.517461,0.550142,0.604265
0.58628,0.516647,0.549054,0.596632,0.517036,0.546447,0.595913
0.5908,0.51645,0.548461,0.595744,0.517024,0.546057,0.594907
0.61006,0.515824,0.546176,0.592066,0.517051,0.544498,0.590771
0.6102,0.515821,0.546162,0.592041,0.517052,0.544488,0.590743
0.61074,0.515808,0.546104,0.59194,0.517054,0.544445,0.590631
0.6195,0.515623,0.545224,0.590318,0.5171,0.54377,0.588848
0.68267,0.514794,0.540783,0.57916,0.517218,0.539419,0.577192
0.6978,0.51446,0.539817,0.576538,0.516962,0.538547,0.57452
0.70775,0.514202,0.539121,0.574806,0.516677,0.538018,0.572747
0.71585,0.513976,0.538497,0.573391,0.516364,0.537616,0.571283
0.71651,0.513957,0.538443,0.573275,0.516335,0.537585,0.571162
0.71657,0.513956,0.538438,0.573264,0.516332,0.537582,0.571151
0.78348,0.512027,0.531851,0.561672,0.5115,0.534535,0.558483
0.78416,0.51201,0.531782,0.56156,0.511445,0.534495,0.558356
0.79408,0.511796,0.530791,0.559938,0.51066,0.53387,0.556511
0.80977,0.511555,0.529278,0.557372,0.509568,0.532643,0.553702
0.81098,0.51154,0.529163,0.557167,0.509495,0.532534,0.553492
0.81106,0.511539,0.529155,0.557154,0.50949,0.532526,0.553479
0.8436,0.511172,0.52614,0.550804,0.508095,0.52879,0.54813
0.86484,0.510654,0.524199,0.545845,0.507574,0.52572,0.544588
0.88171,0.509937,0.522628,0.541582,0.507193,0.52309,0.541409
0.88925,0.509527,0.521895,0.539591,0.506983,0.521904,0.5398
0.8899,0.509489,0.52183,0.539414,0.506962,0.5218,0.539652
0.89297,0.509307,0.521521,0.538584,0.50686,0.52132,0.538945
0.92869,0.506796,0.517202,0.528108,0.504957,0.515807,0.528768
0.93994,0.505903,0.515385,0.524391,0.504272,0.514042,0.524878
0.9493,0.505135,0.513606,0.521106,0.503818,0.512519,0.521428
0.94996,0.50508,0.513472,0.520869,0.503793,0.512409,0.52118
0.95057,0.50503,0.513347,0.520649,0.50377,0.512307,0.520949
0.99124,0.501538,0.502955,0.504573,0.503759,0.504623,0.504237
0.99124,0.501538,0.502955,0.504573,0.503759,0.504623,0.504237
0.99563,0.501155,0.501682,0.502735,0.503855,0.503733,0.502347
0.99875,0.500881,0.500771,0.501421,0.503924,0.503101,0.501004
0.99938,0.500826,0.500588,0.501157,0.503937,0.502975,0.500735
1,0.500772,0.500405,0.500894,0.503951,0.50285,0.500468
