x,0.005,0.015,ss,ss-1,ss-2,ss-3
-0.0015,1.00566,1.00092,0.99277,1.00816,1.01323,1.00361
-0.00075,1.00092,0.99925,0.99184,1.00369,1.01079,1.0024
1.52435e-07,0.99618,0.99758,0.9909,0.99954,1.00735,1.0012
0.00075,0.99166,0.99591,0.98995,0.99455,1.00404,1
0.0015,0.98746,0.99424,0.989,0.99006,1.00092,0.9988
0.00978,0.95117,0.97607,0.97814,0.95528,0.97519,0.98541
0.01053,0.94827,0.97446,0.97712,0.95256,0.97353,0.98418
0.01128,0.94543,0.97286,0.97611,0.94988,0.97191,0.98295
0.01653,0.92608,0.96178,0.96886,0.9316,0.96109,0.97421
0.02029,0.9129,0.95413,0.96362,0.91898,0.95379,0.96793
0.02932,0.88301,0.93691,0.95113,0.88976,0.93714,0.95343
0.04663,0.83096,0.90801,0.92897,0.83707,0.90755,0.92913
0.04811,0.82679,0.90569,0.92723,0.83275,0.90513,0.92726
0.04888,0.82461,0.90448,0.92632,0.8305,0.90387,0.9263
0.05035,0.82051,0.90219,0.92463,0.82625,0.9015,0.92448
0.05712,0.80209,0.89171,0.91712,0.80712,0.89079,0.9165
0.06239,0.78817,0.88349,0.91157,0.79271,0.88269,0.9106
0.0917,0.71702,0.83837,0.88353,0.72184,0.84146,0.88126
0.10677,0.68497,0.81941,0.87022,0.69187,0.82264,0.8678
0.10748,0.68356,0.81857,0.86961,0.69057,0.82179,0.8672
0.10752,0.68348,0.81852,0.86957,0.6905,0.82174,0.86716
0.10897,0.68064,0.81681,0.86833,0.68788,0.82002,0.86592
0.11047,0.67773,0.81504,0.86703,0.68519,0.81825,0.86464
0.12927,0.64528,0.79325,0.85135,0.65491,0.7971,0.84932
0.15255,0.61491,0.76591,0.83335,0.62485,0.77303,0.83205
0.15713,0.60991,0.76055,0.82997,0.61978,0.76851,0.82886
0.17361,0.59378,0.74168,0.81824,0.60369,0.75274,0.81788
0.18643,0.5835,0.72768,0.80953,0.59335,0.74093,0.80983
0.18711,0.58301,0.72695,0.80908,0.59285,0.74031,0.80942
0.18864,0.58194,0.72534,0.80806,0.59175,0.73893,0.80849
0.20063,0.57437,0.71309,0.80021,0.58393,0.72825,0.80135
0.20822,0.57033,0.70575,0.79535,0.57965,0.72167,0.79698
0.22245,0.564,0.69289,0.78641,0.57282,0.70971,0.78901
0.26149,0.55153,0.66268,0.76294,0.55985,0.67986,0.76831
0.27806,0.54753,0.65147,0.7537,0.55599,0.66866,0.75989
0.27884,0.54735,0.65096,0.75327,0.55582,0.66815,0.75949
0.28184,0.54669,0.64902,0.75165,0.55519,0.66623,0.75799
0.28406,0.5462,0.6476,0.75046,0.55473,0.66483,0.75687
0.28478,0.54605,0.64715,0.75008,0.55458,0.66438,0.75651
0.30282,0.5425,0.63633,0.7404,0.55114,0.65368,0.74756
0.33215,0.53803,0.62157,0.72434,0.54638,0.63834,0.73339
0.34188,0.53684,0.6174,0.7197,0.54499,0.63373,0.72882
0.36448,0.53452,0.60881,0.7106,0.54201,0.62383,0.71847
0.38852,0.53251,0.60103,0.70208,0.53914,0.61433,0.70792
0.38996,0.5324,0.6006,0.70157,0.53898,0.61379,0.7073
0.39,0.5324,0.60059,0.70156,0.53897,0.61378,0.70729
0.39072,0.53234,0.60038,0.70131,0.53889,0.61351,0.70698
0.39376,0.53212,0.5995,0.70025,0.53855,0.61238,0.70568
0.44932,0.52852,0.58624,0.68201,0.53269,0.59386,0.68317
0.45611,0.52813,0.58481,0.67996,0.53203,0.59182,0.68054
0.48993,0.52632,0.57784,0.67005,0.52895,0.58229,0.66765
0.49895,0.52587,0.57607,0.66745,0.52817,0.5799,0.66427
0.50118,0.52576,0.57564,0.6668,0.52798,0.57931,0.66343
0.50191,0.52572,0.57551,0.6666,0.52792,0.57912,0.66316
0.52973,0.52438,0.57058,0.6586,0.52568,0.57213,0.65284
0.54097,0.52385,0.56885,0.65536,0.52482,0.56946,0.64875
0.59656,0.52116,0.56156,0.63882,0.52093,0.55791,0.62955
0.6011,0.52092,0.56096,0.63747,0.52064,0.5571,0.62809
0.60186,0.52088,0.56086,0.63724,0.52059,0.55697,0.62784
0.61084,0.52041,0.55962,0.63459,0.52002,0.55545,0.62501
0.61086,0.5204,0.55962,0.63458,0.52002,0.55544,0.625
0.61163,0.52036,0.55951,0.63436,0.51997,0.55532,0.62476
0.66946,0.51714,0.55088,0.61738,0.51658,0.54731,0.60788
0.6747,0.51685,0.55012,0.61584,0.51629,0.54668,0.60641
0.71529,0.51467,0.54458,0.60389,0.51418,0.5417,0.59488
0.71752,0.51456,0.5443,0.60324,0.51406,0.54141,0.59422
0.71755,0.51456,0.54429,0.60323,0.51406,0.54141,0.59422
0.7183,0.51452,0.5442,0.60301,0.51402,0.54131,0.59399
0.74233,0.5134,0.54126,0.59602,0.51285,0.53801,0.58672
0.74531,0.51328,0.54091,0.59517,0.51271,0.53758,0.58579
0.80919,0.51104,0.53379,0.57655,0.50999,0.52851,0.5655
0.80992,0.51102,0.53371,0.57633,0.50996,0.52842,0.56527
0.80993,0.51102,0.53371,0.57633,0.50996,0.52842,0.56527
0.80994,0.51102,0.53371,0.57632,0.50996,0.52842,0.56527
0.8137,0.51091,0.53329,0.57515,0.50982,0.52793,0.5641
0.82421,0.51063,0.53211,0.57181,0.50945,0.52664,0.56086
0.88806,0.50923,0.5235,0.55059,0.50739,0.51968,0.54203
0.89031,0.50919,0.52312,0.54983,0.50731,0.51943,0.54138
0.89107,0.50918,0.52299,0.54957,0.50729,0.51935,0.54116
0.89182,0.50916,0.52286,0.54932,0.50726,0.51927,0.54094
0.89333,0.50913,0.5226,0.54881,0.50721,0.5191,0.5405
0.90159,0.50897,0.52112,0.54603,0.50693,0.51814,0.5381
0.94966,0.50794,0.51133,0.53009,0.50551,0.5118,0.523
0.95117,0.50791,0.511,0.52961,0.50549,0.51159,0.52245
0.95192,0.50789,0.51084,0.52936,0.50548,0.51148,0.52217
0.98948,0.50688,0.50249,0.51791,0.5059,0.50607,0.50598
0.99249,0.50678,0.50181,0.51707,0.50598,0.50563,0.50456
0.99324,0.50676,0.50164,0.51687,0.506,0.50552,0.50421
0.9985,0.5066,0.50046,0.51546,0.50615,0.50476,0.50176
